product_id,product_title,cleaned_title
382,无烟烤盘,无烟 烤盘
383,九宫格书架,九宫格 书架
384,APR 碳纤维尾翼,apr 碳纤维 尾翼
385,专业课保A笔记,专业课 保 a 笔记
386,美甲工具,美甲 工具
387,每天洗碗的男朋友,每天 洗碗 的 男朋友
388,老子说,老子 说
389,庄子说,庄子 说
390,三层鞋架,三层 鞋架
391,小黑板,小黑板
392,GRE单词书,gre 单词 书
393,GRE单词书,gre 单词 书
394,电源线,电源线
395,全新蜡烛,全新 蜡烛
396,好闻的超大号蜡烛,好闻 的 超大 号 蜡烛
398,带鱼屏 21:9屏幕 ultrawide 屏幕,带鱼 屏 21 9 屏幕 ultrawide 屏幕
399,胡椒喷雾 防身,胡椒 喷雾 防身
400,平板便携跑步机,平板 便携 跑步机
401,ps4 slim,ps4 slim
403,椅子,椅子
404,椅子,椅子
405,蒸汽挂熨机,蒸汽 挂熨机
406,多功能用桌,多功能 用桌
407,立式灯,立式 灯
408,Queensize布艺大床(含记忆棉床垫),queensize 布艺大床 含 记忆 棉 床垫
409,多功能床头柜,多功能 床头柜
410,立柜,立柜
411,两个超好闻的蜡烛 赠送底座,两个 超 好闻 的 蜡烛 赠送 底座
412,室内暖气,室内 暖气
413,室内加湿器,室内 加湿器
414,电熨斗,电熨斗
415,米白色双人小沙发 可折叠,米 白色 双人 小 沙发 可折叠
416,4K智能电视,4k 智能 电视
417,蓝色led装饰云朵,蓝色 led 装饰 云朵
418,可移动晾衣架,可 移动 晾衣架
419,背景墙植物挂布 130x150cm,背景墙 植物 挂布 130x150cm
420,收纳牛皮纸袋,收纳 牛皮纸 袋
421,收纳挂袋,收纳 挂袋
422,帕拉梅拉车衣,帕拉 梅 拉车 衣
423,戴尔投影仪,戴尔 投影仪
424,2016年 15寸,2016 年 15 寸
425,多档可变光台灯，带USB充电接口,多档 可变 光 台灯 带 usb 充电 接口
426,钉板（附带钉子,钉板 附带 钉子
427,可躺人大型网红火烈鸟水上浮床,可 躺 人 大型 网红 火烈鸟 水 上浮 床
428,"Omen by Hp 25, 144 Hz, 1ms refresh rate",omen by hp 25 144 hz 1ms refresh rate
429,Ibanez RG470MB-AFM,ibanez rg470mb afm
430,割肉降价！ Bowflex 多功能健身器！,割肉 降价 bowflex 多功能 健身器
432,迷你热敏打印机,迷你 热敏 打印机
433,全身镜,全身 镜
434,猫爬架,猫 爬 架
